budget_FLOPs,context_tokens,quality_family,Q0,minimum_supported_cost_FLOPs,scientific_status,ready_for_Q3,N_params_B,D_tokens_B,Q_score,conditional_loss,cost_FLOPs,budget_utilization,interval_95_lower,interval_95_upper,kkt_relative_violation,kkt_check_pass,active_set,budget_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,Q_lower_active,Q_upper_active,support_saturated,regime,converged_starts,failure,status
1e+24,30000,exponential,0.5,8.400000000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,8.848405953941726e+22,0.08848405953941726,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,30000,power,0.5,8.400000000000001e+18,conditional_B7_semi_synthetic,False,0.5085646770116937,10.000000000000002,0.95790160635434,2.8090737819481615,1.000000000004297e+20,1.000000000004297,2.712123969028878,2.9165016082635815,1.6679711287257318e-10,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,19,,converged_feasible
1e+22,30000,power,0.5,8.400000000000001e+18,conditional_B7_semi_synthetic,False,4.580567138595504,167.63249339406073,0.9999999999999999,2.193978359241385,1.000000000000461e+22,1.000000000000461,2.1027715733769896,2.2976748842328862,9.955908716826377e-11,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,30000,power,0.5,8.400000000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,8.899649999999997e+22,0.08899649999999998,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,30000,logarithmic,0.5,8.400000000000001e+18,conditional_B7_semi_synthetic,False,0.5370672508834842,13.05981105749605,1.0,2.732418098797096,1.0000000000010931e+20,1.0000000000010931,2.638747985347088,2.840922924674009,3.784395356472297e-11,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+22,30000,logarithmic,0.5,8.400000000000001e+18,conditional_B7_semi_synthetic,False,4.311865281763926,188.84081110943447,1.0,2.1892166412496024,1.0000000000012294e+22,1.0000000000012295,2.0989773830171496,2.2926015130469946,1.5017877231020582e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,30000,logarithmic,0.5,8.400000000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,8.691136296428436e+22,0.08691136296428437,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,32768,exponential,0.5,8.787520000000001e+18,conditional_B7_semi_synthetic,False,0.5457127178181832,10.000000000000002,0.9690315159572563,2.793340952168957,1.0000000000042264e+20,1.0000000000042264,2.6962058578802113,2.9007920050189324,9.854091331596728e-11,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,20,,converged_feasible
1e+22,32768,exponential,0.5,8.787520000000001e+18,conditional_B7_semi_synthetic,False,4.412926535392601,168.82895156660715,0.9999999999999999,2.196136492866314,1.0000000000005226e+22,1.0000000000005227,2.1047313306925846,2.299620076945652,1.2496221740600334e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,19,,converged_feasible
1e+24,32768,exponential,0.5,8.787520000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,9.246001473941727e+22,0.09246001473941727,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
