quality_domain,metric_a,metric_b,mean_domain_spearman_sample,conflict_strength_sample,min_domain_spearman_sample,max_domain_spearman_sample,n_domains_sample,mean_domain_spearman_extended,conflict_strength_extended,min_domain_spearman_extended,max_domain_spearman_extended,n_domains_extended,negative_in_both
arxiv,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,-0.04434724543146567,0.04434724543146567,-0.04434724543146567,-0.04434724543146567,1,-0.023450175427346863,0.023450175427346863,-0.023450175427346863,-0.023450175427346863,1,True
arxiv,fluency_en,rps_lines_ending_with_terminal_punctution_mark,-0.03824115535306707,0.03824115535306707,-0.03824115535306707,-0.03824115535306707,1,-0.044172315732108745,0.044172315732108745,-0.044172315732108745,-0.044172315732108745,1,True
arxiv,modernbert_reasoning,rps_lines_ending_with_terminal_punctution_mark,-0.037521323801102784,0.037521323801102784,-0.037521323801102784,-0.037521323801102784,1,-0.06434015591548493,0.06434015591548493,-0.06434015591548493,-0.06434015591548493,1,True
arxiv,rps_doc_frac_unique_words,rps_lines_uppercase_letter_fraction,-0.036726119569704424,0.036726119569704424,-0.036726119569704424,-0.036726119569704424,1,-0.006873463513246141,0.006873463513246141,-0.006873463513246141,-0.006873463513246141,1,True
arxiv,fineweb_edu,rps_doc_frac_unique_words,-0.03363912343158863,0.03363912343158863,-0.03363912343158863,-0.03363912343158863,1,-0.006108420150564254,0.006108420150564254,-0.006108420150564254,-0.006108420150564254,1,True
arxiv,rps_doc_num_sentences,rps_lines_uppercase_letter_fraction,-0.030124900831560806,0.030124900831560806,-0.030124900831560806,-0.030124900831560806,1,0.011363593639983422,0.0,0.011363593639983422,0.011363593639983422,1,False
arxiv,modernbert_readability,rps_doc_unigram_entropy,-0.029745274186890262,0.029745274186890262,-0.029745274186890262,-0.029745274186890262,1,-0.02981830845327465,0.02981830845327465,-0.02981830845327465,-0.02981830845327465,1,True
arxiv,modernbert_professionalism,rps_doc_frac_chars_top_3gram,-0.029598291930811198,0.029598291930811198,-0.029598291930811198,-0.029598291930811198,1,-0.021169404454766047,0.021169404454766047,-0.021169404454766047,-0.021169404454766047,1,True
arxiv,modernbert_cleanliness,dsir_math,-0.028116612228821652,0.028116612228821652,-0.028116612228821652,-0.028116612228821652,1,-0.0565903424468083,0.0565903424468083,-0.0565903424468083,-0.0565903424468083,1,True
arxiv,fineweb_edu,rps_doc_num_sentences,-0.02609531147877547,0.02609531147877547,-0.02609531147877547,-0.02609531147877547,1,-0.01220873239967857,0.01220873239967857,-0.01220873239967857,-0.01220873239967857,1,True
arxiv,qurater,rps_lines_numerical_chars_fraction,-0.024569612294713276,0.024569612294713276,-0.024569612294713276,-0.024569612294713276,1,-0.047605470797189416,0.047605470797189416,-0.047605470797189416,-0.047605470797189416,1,True
arxiv,rps_doc_frac_chars_top_2gram,rps_lines_uppercase_letter_fraction,-0.02316388335621892,0.02316388335621892,-0.02316388335621892,-0.02316388335621892,1,-0.031128332675569095,0.031128332675569095,-0.031128332675569095,-0.031128332675569095,1,True
