metric_a,metric_b,mean_domain_spearman,conflict_strength,min_domain_spearman,max_domain_spearman,n_domains
modernbert_professionalism,dsir_math,0.49091478736115185,0.0,-0.002987313430705627,0.7644009606546387,7
modernbert_professionalism,dsir_wiki,0.49965180966558986,0.0,-0.0283663261939632,0.7685633534180724,7
modernbert_reasoning,rps_doc_word_count,0.5033732366637019,0.0,0.10201927461102908,0.7244673870981795,7
modernbert_reasoning,rps_doc_unigram_entropy,0.5039108566292029,0.0,0.10437395081910926,0.7492959986106208,7
modernbert_readability,qurater,0.5109686543126933,0.0,0.252479893973146,0.6328844120661502,7
modernbert_cleanliness,modernbert_readability,0.5180698968622168,0.0,0.11607757753383434,0.7494648192666482,7
modernbert_professionalism,dsir_books,0.5341644140871362,0.0,0.1909813305050992,0.7695867803357951,7
modernbert_reasoning,modernbert_professionalism,0.6326688449166998,0.0,0.1289754815466871,0.8061675306729512,7
rps_doc_num_sentences,rps_doc_frac_unique_words,0.681274056829339,0.0,0.49706733385155843,0.805489885749165,7
dsir_wiki,rps_doc_unigram_entropy,0.758229609567722,0.0,0.32002899292287346,0.9505330886468958,7
dsir_books,rps_doc_unigram_entropy,0.7624338804201515,0.0,0.3703323261400402,0.9524149275063698,7
dsir_books,rps_doc_frac_unique_words,0.7742425404125493,0.0,0.654768680763659,0.882629378967737,7
dsir_math,rps_doc_unigram_entropy,0.7761895735290191,0.0,0.4239415597831207,0.9513705940761756,7
rps_doc_num_sentences,rps_doc_unigram_entropy,0.7779178811065357,0.0,0.5549141419718557,0.9147467185714878,7
dsir_wiki,rps_doc_frac_unique_words,0.7814956343963944,0.0,0.6527389059985741,0.8835761436927915,7
dsir_math,rps_doc_frac_unique_words,0.7816578140188138,0.0,0.6722995924039298,0.8800341537937268,7
rps_doc_word_count,rps_doc_frac_unique_words,0.8105688697675476,0.0,0.7574881950374128,0.8666843936173317,7
dsir_books,rps_doc_num_sentences,0.8264284248300335,0.0,0.6951529277373758,0.929521436385955,7
dsir_wiki,rps_doc_num_sentences,0.8428322944454466,0.0,0.688365998075557,0.9345613494354602,7
rps_doc_word_count,rps_doc_unigram_entropy,0.8582738336095673,0.0,0.6411539906941705,0.9606918382011943,7
dsir_math,rps_doc_num_sentences,0.8586919770239282,0.0,0.7175993372807081,0.9296667406856517,7
rps_doc_word_count,rps_doc_num_sentences,0.8751752993060729,0.0,0.7473795551370506,0.9173901087394067,7
dsir_books,rps_doc_word_count,0.8939514871862462,0.0,0.7403053060782336,0.9904347953851209,7
dsir_wiki,rps_doc_word_count,0.9017252886611529,0.0,0.7637150384861926,0.9899828413311181,7
dsir_math,rps_doc_word_count,0.920597883054563,0.0,0.7869586735637225,0.992079584778496,7
dsir_books,dsir_math,0.9771373418505964,0.0,0.856931164686624,0.9995956309795875,7
dsir_books,dsir_wiki,0.9862662921435815,0.0,0.9105278952242508,0.9999296866022157,7
dsir_wiki,dsir_math,0.9911726613708983,0.0,0.9537486686315445,0.9995773791804581,7
