quality_domain,metric_a,metric_b,mean_domain_spearman,conflict_strength,min_domain_spearman,max_domain_spearman,n_domains
arxiv,dsir_books,qurater,-0.010281430470593449,0.010281430470593449,-0.010281430470593449,-0.010281430470593449,1
arxiv,fineweb_edu,rps_doc_frac_unique_words,-0.003349073364041574,0.003349073364041574,-0.003349073364041574,-0.003349073364041574,1
arxiv,rps_doc_frac_chars_top_2gram,rps_lines_numerical_chars_fraction,-0.00044472465838966567,0.00044472465838966567,-0.00044472465838966567,-0.00044472465838966567,1
arxiv,modernbert_readability,rps_doc_num_sentences,0.00025695618487297,0.0,0.00025695618487297,0.00025695618487297,1
arxiv,rps_doc_word_count,rps_lines_ending_with_terminal_punctution_mark,0.0013615588610659459,0.0,0.0013615588610659459,0.0013615588610659459,1
arxiv,ad_en,rps_lines_numerical_chars_fraction,0.00242050559263793,0.0,0.00242050559263793,0.00242050559263793,1
arxiv,modernbert_readability,rps_lines_numerical_chars_fraction,0.0029065975575569055,0.0,0.0029065975575569055,0.0029065975575569055,1
arxiv,rps_doc_frac_unique_words,rps_lines_uppercase_letter_fraction,0.0045462021712288,0.0,0.0045462021712288,0.0045462021712288,1
arxiv,fluency_en,rps_doc_num_sentences,0.006041173707414298,0.0,0.006041173707414298,0.006041173707414298,1
arxiv,rps_doc_frac_chars_top_3gram,rps_lines_numerical_chars_fraction,0.013293978715944172,0.0,0.013293978715944172,0.013293978715944172,1
arxiv,rps_doc_num_sentences,rps_lines_ending_with_terminal_punctution_mark,0.015296320288681851,0.0,0.015296320288681851,0.015296320288681851,1
arxiv,rps_doc_word_count,rps_lines_numerical_chars_fraction,0.015777326783424545,0.0,0.015777326783424545,0.015777326783424545,1
arxiv,modernbert_reasoning,rps_lines_numerical_chars_fraction,0.01631296072974584,0.0,0.01631296072974584,0.01631296072974584,1
arxiv,rps_doc_frac_no_alph_words,rps_doc_mean_word_length,0.019683573869589795,0.0,0.019683573869589795,0.019683573869589795,1
arxiv,modernbert_professionalism,rps_doc_frac_chars_top_3gram,0.020385310668753345,0.0,0.020385310668753345,0.020385310668753345,1
arxiv,ad_en,rps_doc_frac_unique_words,0.023939816846575382,0.0,0.023939816846575382,0.023939816846575382,1
arxiv,modernbert_reasoning,rps_doc_frac_chars_top_3gram,0.024169430123308848,0.0,0.024169430123308848,0.024169430123308848,1
arxiv,fluency_en,rps_doc_frac_chars_top_3gram,0.025583353766872208,0.0,0.025583353766872208,0.025583353766872208,1
arxiv,modernbert_reasoning,rps_doc_frac_chars_top_2gram,0.026925272260862332,0.0,0.026925272260862332,0.026925272260862332,1
arxiv,rps_doc_frac_chars_top_2gram,rps_lines_uppercase_letter_fraction,0.032024980045959654,0.0,0.032024980045959654,0.032024980045959654,1
arxiv,qurater,rps_doc_unigram_entropy,0.03403475524864341,0.0,0.03403475524864341,0.03403475524864341,1
arxiv,rps_doc_word_count,rps_doc_mean_word_length,0.035915591796999546,0.0,0.035915591796999546,0.035915591796999546,1
arxiv,modernbert_professionalism,rps_doc_num_sentences,0.037472373816313534,0.0,0.037472373816313534,0.037472373816313534,1
arxiv,rps_doc_frac_chars_top_2gram,rps_lines_ending_with_terminal_punctution_mark,0.04004904019360268,0.0,0.04004904019360268,0.04004904019360268,1
arxiv,fluency_en,rps_doc_word_count,0.042529181663064484,0.0,0.042529181663064484,0.042529181663064484,1
arxiv,rps_doc_frac_unique_words,rps_doc_frac_chars_top_2gram,0.04287611749364056,0.0,0.04287611749364056,0.04287611749364056,1
arxiv,modernbert_reasoning,rps_doc_mean_word_length,0.04487497359736359,0.0,0.04487497359736359,0.04487497359736359,1
arxiv,fineweb_edu,rps_lines_numerical_chars_fraction,0.04983540748586375,0.0,0.04983540748586375,0.04983540748586375,1
arxiv,fineweb_edu,rps_doc_frac_chars_top_3gram,0.05192393641510857,0.0,0.05192393641510857,0.05192393641510857,1
arxiv,qurater,rps_doc_num_sentences,0.060519810816650484,0.0,0.060519810816650484,0.060519810816650484,1
arxiv,rps_doc_frac_unique_words,rps_lines_ending_with_terminal_punctution_mark,0.06314328197466673,0.0,0.06314328197466673,0.06314328197466673,1
arxiv,rps_lines_uppercase_letter_fraction,rps_doc_mean_word_length,0.06465288494140094,0.0,0.06465288494140094,0.06465288494140094,1
arxiv,modernbert_cleanliness,rps_doc_frac_chars_top_3gram,0.06508607438887463,0.0,0.06508607438887463,0.06508607438887463,1
arxiv,fluency_en,modernbert_professionalism,0.06599753406606884,0.0,0.06599753406606884,0.06599753406606884,1
arxiv,ad_en,rps_doc_frac_chars_top_3gram,0.06995516288548946,0.0,0.06995516288548946,0.06995516288548946,1
arxiv,fluency_en,rps_doc_frac_unique_words,0.07073089205276809,0.0,0.07073089205276809,0.07073089205276809,1
arxiv,modernbert_readability,modernbert_reasoning,0.0719506402920998,0.0,0.0719506402920998,0.0719506402920998,1
arxiv,fineweb_edu,rps_lines_uppercase_letter_fraction,0.07295684856189608,0.0,0.07295684856189608,0.07295684856189608,1
arxiv,modernbert_reasoning,rps_doc_unigram_entropy,0.07442149877568886,0.0,0.07442149877568886,0.07442149877568886,1
arxiv,fineweb_edu,rps_lines_ending_with_terminal_punctution_mark,0.07614846927223423,0.0,0.07614846927223423,0.07614846927223423,1
arxiv,modernbert_reasoning,rps_doc_num_sentences,0.07667299326580787,0.0,0.07667299326580787,0.07667299326580787,1
arxiv,qurater,rps_doc_mean_word_length,0.08386532222057573,0.0,0.08386532222057573,0.08386532222057573,1
arxiv,rps_lines_ending_with_terminal_punctution_mark,rps_doc_mean_word_length,0.08809339099306372,0.0,0.08809339099306372,0.08809339099306372,1
arxiv,rps_doc_frac_chars_top_3gram,rps_doc_mean_word_length,0.08839174753358767,0.0,0.08839174753358767,0.08839174753358767,1
arxiv,modernbert_cleanliness,rps_doc_mean_word_length,0.09098875010097841,0.0,0.09098875010097841,0.09098875010097841,1
arxiv,ad_en,rps_doc_mean_word_length,0.09362711635059483,0.0,0.09362711635059483,0.09362711635059483,1
arxiv,modernbert_reasoning,rps_doc_word_count,0.09423980168428286,0.0,0.09423980168428286,0.09423980168428286,1
arxiv,qurater,rps_lines_uppercase_letter_fraction,0.09594351313569095,0.0,0.09594351313569095,0.09594351313569095,1
arxiv,modernbert_reasoning,dsir_math,0.09777059854478032,0.0,0.09777059854478032,0.09777059854478032,1
arxiv,qurater,rps_doc_frac_unique_words,0.0991270499937232,0.0,0.0991270499937232,0.0991270499937232,1
arxiv,modernbert_reasoning,dsir_books,0.10055983225835734,0.0,0.10055983225835734,0.10055983225835734,1
arxiv,modernbert_reasoning,dsir_wiki,0.10060761432537399,0.0,0.10060761432537399,0.10060761432537399,1
arxiv,qurater,rps_doc_word_count,0.10114623390543029,0.0,0.10114623390543029,0.10114623390543029,1
arxiv,dsir_wiki,rps_lines_numerical_chars_fraction,0.10296564901806254,0.0,0.10296564901806254,0.10296564901806254,1
arxiv,dsir_math,rps_lines_numerical_chars_fraction,0.10742928420556393,0.0,0.10742928420556393,0.10742928420556393,1
arxiv,dsir_books,rps_lines_numerical_chars_fraction,0.1084218345364201,0.0,0.1084218345364201,0.1084218345364201,1
arxiv,modernbert_cleanliness,modernbert_readability,0.11370887336133599,0.0,0.11370887336133599,0.11370887336133599,1
arxiv,fluency_en,rps_doc_frac_no_alph_words,0.11458957324694886,0.0,0.11458957324694886,0.11458957324694886,1
arxiv,modernbert_reasoning,rps_doc_frac_unique_words,0.11675810413200623,0.0,0.11675810413200623,0.11675810413200623,1
arxiv,modernbert_professionalism,qurater,0.11697257983495585,0.0,0.11697257983495585,0.11697257983495585,1
arxiv,modernbert_professionalism,rps_doc_unigram_entropy,0.11776856108825341,0.0,0.11776856108825341,0.11776856108825341,1
arxiv,fluency_en,modernbert_reasoning,0.1193192710648038,0.0,0.1193192710648038,0.1193192710648038,1
arxiv,modernbert_professionalism,rps_doc_frac_chars_top_2gram,0.1204893684923118,0.0,0.1204893684923118,0.1204893684923118,1
arxiv,fineweb_edu,modernbert_reasoning,0.12463214129871115,0.0,0.12463214129871115,0.12463214129871115,1
arxiv,fineweb_edu,rps_doc_mean_word_length,0.14028704979761653,0.0,0.14028704979761653,0.14028704979761653,1
arxiv,qurater,rps_doc_frac_no_alph_words,0.14285507951889023,0.0,0.14285507951889023,0.14285507951889023,1
arxiv,modernbert_professionalism,rps_doc_word_count,0.1443359352102014,0.0,0.1443359352102014,0.1443359352102014,1
arxiv,modernbert_cleanliness,modernbert_reasoning,0.14774697245882806,0.0,0.14774697245882806,0.14774697245882806,1
arxiv,fluency_en,rps_doc_mean_word_length,0.1478696960505796,0.0,0.1478696960505796,0.1478696960505796,1
arxiv,modernbert_professionalism,rps_doc_frac_unique_words,0.15299958074462594,0.0,0.15299958074462594,0.15299958074462594,1
arxiv,modernbert_reasoning,qurater,0.15307838933968704,0.0,0.15307838933968704,0.15307838933968704,1
arxiv,qurater,rps_lines_ending_with_terminal_punctution_mark,0.1555703021521158,0.0,0.1555703021521158,0.1555703021521158,1
arxiv,dsir_math,ad_en,0.1730109373364512,0.0,0.1730109373364512,0.1730109373364512,1
arxiv,modernbert_reasoning,modernbert_professionalism,0.17390216709915557,0.0,0.17390216709915557,0.17390216709915557,1
arxiv,rps_doc_unigram_entropy,rps_lines_numerical_chars_fraction,0.18024296031326903,0.0,0.18024296031326903,0.18024296031326903,1
arxiv,rps_doc_word_count,rps_doc_frac_chars_top_2gram,0.1960786237316376,0.0,0.1960786237316376,0.1960786237316376,1
arxiv,rps_doc_num_sentences,rps_doc_frac_chars_top_2gram,0.19858400388809613,0.0,0.19858400388809613,0.19858400388809613,1
arxiv,dsir_books,ad_en,0.19879901321733867,0.0,0.19879901321733867,0.19879901321733867,1
arxiv,dsir_wiki,ad_en,0.2008926660002606,0.0,0.2008926660002606,0.2008926660002606,1
arxiv,fluency_en,ad_en,0.20175817813002872,0.0,0.20175817813002872,0.20175817813002872,1
arxiv,rps_doc_num_sentences,rps_lines_numerical_chars_fraction,0.20422778058044413,0.0,0.20422778058044413,0.20422778058044413,1
arxiv,fluency_en,modernbert_readability,0.20702581780652227,0.0,0.20702581780652227,0.20702581780652227,1
arxiv,modernbert_cleanliness,qurater,0.23048081551621946,0.0,0.23048081551621946,0.23048081551621946,1
arxiv,modernbert_cleanliness,ad_en,0.2427740281664734,0.0,0.2427740281664734,0.2427740281664734,1
arxiv,fluency_en,modernbert_cleanliness,0.24501279038619495,0.0,0.24501279038619495,0.24501279038619495,1
arxiv,dsir_math,rps_doc_frac_chars_top_2gram,0.2662528015741211,0.0,0.2662528015741211,0.2662528015741211,1
arxiv,rps_doc_frac_unique_words,rps_doc_mean_word_length,0.27109144729283563,0.0,0.27109144729283563,0.27109144729283563,1
arxiv,dsir_books,rps_doc_frac_chars_top_2gram,0.2757762264887729,0.0,0.2757762264887729,0.2757762264887729,1
arxiv,dsir_wiki,rps_doc_frac_chars_top_2gram,0.27832656723414023,0.0,0.27832656723414023,0.27832656723414023,1
arxiv,modernbert_readability,qurater,0.2903219253299728,0.0,0.2903219253299728,0.2903219253299728,1
arxiv,fineweb_edu,fluency_en,0.29310345551385397,0.0,0.29310345551385397,0.29310345551385397,1
arxiv,fineweb_edu,rps_doc_frac_no_alph_words,0.2940002541339505,0.0,0.2940002541339505,0.2940002541339505,1
arxiv,rps_doc_unigram_entropy,rps_doc_frac_unique_words,0.30271000824364824,0.0,0.30271000824364824,0.30271000824364824,1
arxiv,fineweb_edu,qurater,0.30633055883880933,0.0,0.30633055883880933,0.30633055883880933,1
arxiv,modernbert_readability,rps_lines_ending_with_terminal_punctution_mark,0.3209128620743767,0.0,0.3209128620743767,0.3209128620743767,1
arxiv,fineweb_edu,modernbert_readability,0.32488655584055115,0.0,0.32488655584055115,0.32488655584055115,1
arxiv,modernbert_readability,rps_lines_uppercase_letter_fraction,0.354673466531087,0.0,0.354673466531087,0.354673466531087,1
arxiv,rps_doc_frac_no_alph_words,rps_lines_uppercase_letter_fraction,0.3606180399261528,0.0,0.3606180399261528,0.3606180399261528,1
arxiv,rps_doc_frac_no_alph_words,rps_lines_ending_with_terminal_punctution_mark,0.3729389528655848,0.0,0.3729389528655848,0.3729389528655848,1
arxiv,modernbert_cleanliness,modernbert_professionalism,0.3744539707476244,0.0,0.3744539707476244,0.3744539707476244,1
arxiv,modernbert_professionalism,ad_en,0.395874264898122,0.0,0.395874264898122,0.395874264898122,1
arxiv,rps_doc_unigram_entropy,rps_doc_frac_chars_top_2gram,0.417194687366757,0.0,0.417194687366757,0.417194687366757,1
arxiv,fluency_en,qurater,0.4308536608128013,0.0,0.4308536608128013,0.4308536608128013,1
arxiv,modernbert_professionalism,dsir_math,0.4553582931331259,0.0,0.4553582931331259,0.4553582931331259,1
arxiv,modernbert_professionalism,dsir_books,0.49901572065208555,0.0,0.49901572065208555,0.49901572065208555,1
arxiv,modernbert_professionalism,dsir_wiki,0.5033748365459927,0.0,0.5033748365459927,0.5033748365459927,1
arxiv,modernbert_readability,rps_doc_frac_no_alph_words,0.5545770128042022,0.0,0.5545770128042022,0.5545770128042022,1
