repeat,policy,selected_index,frozen_selected_index,same_as_frozen,refit_regret_using_frozen_choice,frozen_regret_using_refit_choice,selected_feature_domains,chosen_alpha_13
20,unconstrained,136,136,True,0.0,0.0,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
20,quality_direct,301,301,True,0.0,0.0,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
20,quality_direct_and_near,172,172,True,0.0,0.0,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
20,minimax,172,477,False,0.023653438180178954,0.020288804236874958,freelaw|pubmed_central|arxiv|github|pile_cc,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
21,unconstrained,136,136,True,0.0,0.0,stackexchange|pubmed_central|arxiv|github|pile_cc,0.01|0.1|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
21,quality_direct,84,301,False,0.024092999733094193,0.010177373071483344,stackexchange|pubmed_central|arxiv|github|pile_cc,0.01|0.1|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
21,quality_direct_and_near,84,172,False,0.014429180522128986,0.0256261008610291,stackexchange|pubmed_central|arxiv|github|pile_cc,0.01|0.1|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
21,minimax,97,477,False,0.002868685054960629,0.0025900536515444106,stackexchange|pubmed_central|arxiv|github|pile_cc,0.01|0.1|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
22,unconstrained,136,136,True,0.0,0.0,stackexchange|arxiv|pubmed_central|github|pile_cc,0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
22,quality_direct,84,301,False,0.04642585369670884,0.010177373071483344,stackexchange|arxiv|pubmed_central|github|pile_cc,0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
22,quality_direct_and_near,84,172,False,0.030820722205883798,0.0256261008610291,stackexchange|arxiv|pubmed_central|github|pile_cc,0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
22,minimax,97,477,False,0.013871437681168608,0.0025900536515444106,stackexchange|arxiv|pubmed_central|github|pile_cc,0.01|0.1|0.01|0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
23,unconstrained,136,136,True,0.0,0.0,freelaw|arxiv|pubmed_central|pile_cc|github,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
23,quality_direct,477,301,False,0.003933293434124227,6.151112186358193e-05,freelaw|arxiv|pubmed_central|pile_cc|github,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
23,quality_direct_and_near,172,172,True,0.0,0.0,freelaw|arxiv|pubmed_central|pile_cc|github,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
23,minimax,477,477,True,0.0,0.0,freelaw|arxiv|pubmed_central|pile_cc|github,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
24,unconstrained,136,136,True,0.0,0.0,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.001|0.01|0.1|0.1
24,quality_direct,301,301,True,0.0,0.0,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.001|0.01|0.1|0.1
24,quality_direct_and_near,172,172,True,0.0,0.0,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.001|0.01|0.1|0.1
24,minimax,97,477,False,0.0006211178001065409,0.0025900536515444106,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.001|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.001|0.01|0.1|0.1
25,unconstrained,136,136,True,0.0,0.0,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.1|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
25,quality_direct,301,301,True,0.0,0.0,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.1|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
25,quality_direct_and_near,172,172,True,0.0,0.0,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.1|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
25,minimax,477,477,True,0.0,0.0,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.1|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
26,unconstrained,136,136,True,0.0,0.0,freelaw|arxiv|pile_cc|pubmed_central|github,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
26,quality_direct,477,301,False,0.006546434612270072,6.151112186358193e-05,freelaw|arxiv|pile_cc|pubmed_central|github,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
26,quality_direct_and_near,384,172,False,0.004425308322402913,0.003407985373192826,freelaw|arxiv|pile_cc|pubmed_central|github,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
26,minimax,477,477,True,0.0,0.0,freelaw|arxiv|pile_cc|pubmed_central|github,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
27,unconstrained,136,136,True,0.0,0.0,stackexchange|pubmed_central|arxiv|github|pile_cc,0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.001|0.01|0.1
27,quality_direct,84,301,False,0.03023203019400037,0.010177373071483344,stackexchange|pubmed_central|arxiv|github|pile_cc,0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.001|0.01|0.1
27,quality_direct_and_near,84,172,False,0.013913306565658236,0.0256261008610291,stackexchange|pubmed_central|arxiv|github|pile_cc,0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.001|0.01|0.1
27,minimax,367,477,False,0.025170789866255205,0.008278341016680901,stackexchange|pubmed_central|arxiv|github|pile_cc,0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.001|0.01|0.1
28,unconstrained,136,136,True,0.0,0.0,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.1|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
28,quality_direct,301,301,True,0.0,0.0,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.1|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
28,quality_direct_and_near,172,172,True,0.0,0.0,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.1|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
28,minimax,367,477,False,0.004593618244523201,0.008278341016680901,freelaw|arxiv|pubmed_central|github|pile_cc,0.01|0.01|0.1|0.1|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
29,unconstrained,136,136,True,0.0,0.0,freelaw|arxiv|pile_cc|github|pubmed_central,0.01|0.01|0.1|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
29,quality_direct,475,301,False,0.0014406814513828053,0.011112011060439478,freelaw|arxiv|pile_cc|github|pubmed_central,0.01|0.01|0.1|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
29,quality_direct_and_near,384,172,False,0.003746056681158086,0.003407985373192826,freelaw|arxiv|pile_cc|github|pubmed_central,0.01|0.01|0.1|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
29,minimax,97,477,False,0.009921300139746903,0.0025900536515444106,freelaw|arxiv|pile_cc|github|pubmed_central,0.01|0.01|0.1|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
