index,arxiv,freelaw,nih_exporter,pubmed_central,wikipedia_en,dm_mathematics,github,philpapers,stackexchange,enron_emails,gutenberg_pg_19,pile_cc,ubuntu_irc,europarl,hackernews,pubmed_abstracts,uspto_backgrounds
72,0.038,0.024,0.0,0.363,0.006,0.138,0.185,0.003,0.021,0.0,0.072,0.037,0.041,0.02,0.026,0.016,0.01
73,0.0009990009990009992,0.35864135864135865,0.0,0.0,0.17482517482517484,0.1078921078921079,0.1078921078921079,0.0,0.004995004995004996,0.0,0.0,0.0,0.0,0.0,0.02197802197802198,0.2207792207792208,0.0019980019980019984
74,0.6266266266266266,0.0,0.0,0.019019019019019017,0.05005005005005005,0.02002002002002002,0.0,0.0,0.20320320320320323,0.0,0.0,0.07507507507507508,0.0,0.0,0.006006006006006006,0.0,0.0
75,0.0,0.327,0.003,0.084,0.001,0.007,0.004,0.0,0.081,0.011,0.23,0.045,0.012,0.078,0.0,0.0,0.117
76,0.5615615615615616,0.37837837837837834,0.0,0.0,0.0,0.025025025025025023,0.0,0.0,0.0,0.0,0.02202202202202202,0.001001001001001001,0.0,0.0,0.0,0.01101101101101101,0.001001001001001001
77,0.001,0.353,0.0,0.354,0.0,0.0,0.0,0.0,0.061,0.0,0.001,0.0,0.0,0.002,0.01,0.18,0.038
78,0.471,0.401,0.0,0.079,0.007,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.003,0.002,0.0,0.005,0.001
79,0.659,0.0,0.0,0.001,0.0,0.025,0.0,0.0,0.167,0.0,0.0,0.0,0.14,0.008,0.0,0.0,0.0
80,0.001,0.013,0.0,0.0,0.261,0.058,0.203,0.047,0.0,0.006,0.0,0.342,0.064,0.001,0.0,0.0,0.004
81,0.0,0.469,0.017,0.041,0.006,0.0,0.0,0.005,0.271,0.0,0.0,0.0,0.0,0.001,0.003,0.0,0.187
82,0.0,0.0,0.0,0.04,0.599,0.0,0.0,0.0,0.008,0.01,0.0,0.005,0.052,0.0,0.0,0.0,0.286
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988988988988989,0.0,0.001001001001001001,0.001001001001001001,0.0,0.0,0.007007007007007007,0.002002002002002002,0.0
84,0.15384615384615385,0.0,0.0,0.0,0.006993006993006994,0.1098901098901099,0.0029970029970029974,0.0,0.3546453546453547,0.0,0.0019980019980019984,0.2247752247752248,0.1208791208791209,0.0,0.0,0.02397602397602398,0.0
85,0.0,0.0,0.0,0.0,0.0,0.15484515484515485,0.7232767232767233,0.003996003996003997,0.0019980019980019984,0.0009990009990009992,0.03096903096903097,0.0,0.027972027972027975,0.05494505494505495,0.0,0.0,0.0009990009990009992
86,0.0,0.01503006012024048,0.02905811623246493,0.002004008016032064,0.0,0.012024048096192385,0.1783567134268537,0.01002004008016032,0.0,0.01002004008016032,0.001002004008016032,0.009018036072144287,0.044088176352705406,0.0,0.008016032064128256,0.002004008016032064,0.6793587174348698
87,0.1788211788211788,0.000999000999000999,0.0029970029970029966,0.012987012987012984,0.05194805194805194,0.0,0.1868131868131868,0.004995004995004994,0.23376623376623376,0.006993006993006992,0.0,0.000999000999000999,0.012987012987012984,0.05094905094905094,0.09790209790209789,0.1558441558441558,0.000999000999000999
88,0.716,0.147,0.0,0.004,0.001,0.001,0.0,0.0,0.0,0.015,0.065,0.0,0.004,0.002,0.0,0.045,0.0
89,0.06406406406406406,0.17917917917917917,0.002002002002002002,0.0,0.1081081081081081,0.001001001001001001,0.15615615615615616,0.0,0.0,0.0,0.0,0.15715715715715717,0.11011011011011011,0.0,0.025025025025025027,0.0,0.1971971971971972
90,0.5765765765765766,0.04004004004004004,0.0,0.021021021021021023,0.0,0.0,0.0960960960960961,0.0,0.019019019019019017,0.0,0.022022022022022022,0.2102102102102102,0.0,0.0,0.0,0.014014014014014014,0.001001001001001001
91,0.1691691691691692,0.0,0.011011011011011011,0.009009009009009009,0.0,0.0,0.06306306306306306,0.0,0.15515515515515516,0.0,0.031031031031031032,0.002002002002002002,0.0,0.0,0.10710710710710711,0.45245245245245247,0.0
92,0.018018018018018018,0.09109109109109109,0.0,0.2502502502502503,0.0,0.2172172172172172,0.3203203203203203,0.0,0.0,0.0,0.0,0.0,0.008008008008008008,0.0,0.002002002002002002,0.008008008008008008,0.0850850850850851
93,0.007007007007007007,0.2762762762762763,0.0,0.012012012012012012,0.0,0.0,0.4754754754754755,0.0,0.001001001001001001,0.0,0.0,0.037037037037037035,0.0,0.001001001001001001,0.0,0.0,0.1901901901901902
94,0.0,0.0,0.0,0.053,0.001,0.059,0.432,0.0,0.028,0.0,0.223,0.008,0.005,0.038,0.0,0.149,0.004
95,0.002002002002002002,0.07407407407407407,0.0,0.0,0.33933933933933935,0.021021021021021023,0.013013013013013013,0.0,0.002002002002002002,0.003003003003003003,0.13213213213213215,0.15015015015015015,0.036036036036036036,0.006006006006006006,0.03303303303303304,0.003003003003003003,0.18518518518518517
96,0.5535535535535535,0.0,0.0,0.0,0.0,0.0,0.10310310310310308,0.0,0.0,0.0,0.0,0.0030030030030030025,0.004004004004004004,0.0,0.0,0.26926926926926925,0.06706706706706707
97,0.04590818363273453,0.008982035928143712,0.00499001996007984,0.000998003992015968,0.001996007984031936,0.0,0.000998003992015968,0.0,0.10179640718562874,0.0,0.10878243512974052,0.3413173652694611,0.1287425149700599,0.0718562874251497,0.0688622754491018,0.11477045908183633,0.0
98,0.012987012987012988,0.013986013986013988,0.0,0.01198801198801199,0.30369630369630374,0.012987012987012988,0.0,0.0,0.15984015984015987,0.0,0.07792207792207793,0.15084915084915085,0.0,0.0,0.04295704295704296,0.0,0.2127872127872128
99,0.06793206793206794,0.0,0.01898101898101898,0.0,0.43856143856143853,0.00899100899100899,0.0,0.013986013986013984,0.3246753246753247,0.0,0.0,0.0,0.016983016983016984,0.0,0.0,0.023976023976023973,0.08591408591408589
100,0.23223223223223224,0.0,0.021021021021021023,0.0,0.008008008008008008,0.0,0.021021021021021023,0.02902902902902903,0.04504504504504504,0.009009009009009009,0.2132132132132132,0.24624624624624625,0.028028028028028028,0.002002002002002002,0.001001001001001001,0.0,0.14414414414414414
101,0.00899100899100899,0.12987012987012986,0.0,0.0,0.0,0.0,0.001998001998001998,0.0,0.0,0.0,0.000999000999000999,0.3276723276723276,0.0,0.0,0.0,0.5124875124875125,0.01798201798201798
102,0.01,0.058,0.008,0.202,0.0,0.0,0.101,0.001,0.0,0.0,0.062,0.154,0.025,0.0,0.021,0.007,0.351
103,0.003996003996003996,0.0,0.0,0.935064935064935,0.0,0.0,0.0,0.0,0.044955044955044945,0.014985014985014982,0.0,0.000999000999000999,0.0,0.0,0.0,0.0,0.0
104,0.0,0.008,0.02,0.002,0.019,0.0,0.359,0.0,0.59,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0
105,0.008991008991008992,0.2037962037962038,0.032967032967032975,0.1278721278721279,0.0,0.0,0.0,0.0009990009990009992,0.1138861138861139,0.0,0.12687312687312688,0.16583416583416585,0.04295704295704296,0.04495504495504496,0.09190809190809192,0.03596403596403597,0.0029970029970029974
106,0.028028028028028028,0.15515515515515516,0.0,0.0,0.4394394394394394,0.001001001001001001,0.0,0.0,0.013013013013013013,0.0,0.008008008008008008,0.0,0.0,0.0850850850850851,0.004004004004004004,0.26626626626626626,0.0
107,0.00899100899100899,0.0,0.0,0.042957042957042946,0.0029970029970029966,0.042957042957042946,0.0,0.04195804195804195,0.40259740259740256,0.00899100899100899,0.07492507492507491,0.05994005994005993,0.0,0.09190809190809189,0.010989010989010986,0.19580419580419578,0.014985014985014982
108,0.0,0.0,0.0,0.0,0.001998001998001998,0.003996003996003996,0.0,0.0,0.07192807192807192,0.0,0.0,0.6643356643356643,0.0,0.005994005994005993,0.02897102897102897,0.013986013986013984,0.20879120879120877
109,0.004995004995004994,0.5484515484515484,0.012987012987012984,0.000999000999000999,0.009990009990009988,0.0,0.049950049950049945,0.0,0.0,0.003996003996003996,0.05294705294705294,0.23776223776223773,0.000999000999000999,0.007992007992007992,0.0,0.06893106893106893,0.0
110,0.001,0.317,0.0,0.583,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.001,0.0,0.0,0.002
111,0.0,0.0,0.0,0.009009009009009009,0.055055055055055056,0.008008008008008008,0.6786786786786787,0.0,0.051051051051051045,0.0,0.006006006006006006,0.006006006006006006,0.0,0.0,0.0,0.18618618618618618,0.0
112,0.14814814814814814,0.005005005005005005,0.0,0.018018018018018018,0.008008008008008008,0.0,0.0,0.002002002002002002,0.0,0.0,0.0,0.1991991991991992,0.0,0.0,0.0,0.0,0.6196196196196196
113,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.0
114,0.0,0.003003003003003003,0.005005005005005005,0.12412412412412413,0.014014014014014014,0.03203203203203203,0.6536536536536537,0.002002002002002002,0.0960960960960961,0.004004004004004004,0.014014014014014014,0.0,0.009009009009009009,0.013013013013013013,0.0,0.03003003003003003,0.0
115,0.1091091091091091,0.33633633633633636,0.0,0.011011011011011011,0.05005005005005005,0.09009009009009009,0.0,0.0,0.2912912912912913,0.0,0.07007007007007007,0.007007007007007007,0.0,0.035035035035035036,0.0,0.0,0.0
116,0.0,0.0,0.006,0.051,0.016,0.004,0.908,0.005,0.0,0.001,0.0,0.006,0.0,0.0,0.0,0.003,0.0
117,0.0,0.696,0.016,0.0,0.002,0.0,0.0,0.005,0.181,0.0,0.0,0.083,0.0,0.0,0.006,0.0,0.011
118,0.0,0.0,0.0,0.1038961038961039,0.018981018981018984,0.0,0.10089910089910091,0.01098901098901099,0.42457542457542463,0.0,0.14385614385614387,0.16983016983016985,0.0,0.0,0.025974025974025976,0.0009990009990009992,0.0
119,0.35064935064935066,0.4475524475524476,0.0,0.008991008991008992,0.07992007992007993,0.0009990009990009992,0.019980019980019983,0.0,0.0,0.0,0.08291708291708293,0.0,0.008991008991008992,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.005,0.021,0.008,0.903,0.0,0.0,0.0,0.002,0.0,0.048,0.0,0.0,0.011,0.002
121,0.1318681318681319,0.29570429570429574,0.0019980019980019984,0.0009990009990009992,0.0029970029970029974,0.03096903096903097,0.012987012987012988,0.0,0.03996003996003997,0.0029970029970029974,0.23976023976023977,0.16383616383616387,0.017982017982017984,0.0009990009990009992,0.005994005994005995,0.04195804195804197,0.008991008991008992
122,0.0,0.02,0.0,0.0,0.002,0.0,0.402,0.0,0.0,0.0,0.0,0.426,0.005,0.038,0.001,0.0,0.106
123,0.01798201798201798,0.07392607392607392,0.0,0.4605394605394605,0.0,0.0,0.015984015984015984,0.0,0.34165834165834164,0.0,0.0,0.07592407592407592,0.0,0.012987012987012984,0.0,0.0,0.000999000999000999
124,0.7132867132867133,0.01198801198801199,0.03096903096903097,0.020979020979020983,0.003996003996003997,0.0,0.0,0.0,0.0,0.0,0.04295704295704296,0.17182817182817184,0.0029970029970029974,0.0,0.0,0.0,0.0009990009990009992
125,0.0,0.002002002002002002,0.035035035035035036,0.45345345345345345,0.0,0.18218218218218218,0.022022022022022022,0.05205205205205205,0.14314314314314314,0.002002002002002002,0.002002002002002002,0.0,0.018018018018018018,0.012012012012012012,0.07307307307307306,0.001001001001001001,0.002002002002002002
126,0.0,0.002,0.0,0.004,0.145,0.0,0.0,0.0,0.001,0.0,0.0,0.536,0.0,0.029,0.013,0.0,0.27
127,0.05905905905905905,0.001001001001001001,0.0,0.002002002002002002,0.003003003003003003,0.062062062062062065,0.8028028028028028,0.001001001001001001,0.0,0.0,0.007007007007007007,0.008008008008008008,0.021021021021021023,0.008008008008008008,0.007007007007007007,0.0,0.018018018018018018
128,0.0,0.029,0.012,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.032,0.248,0.0,0.0,0.075,0.152,0.443
129,0.22822822822822825,0.001001001001001001,0.013013013013013013,0.15815815815815815,0.0,0.009009009009009009,0.056056056056056056,0.0,0.3853853853853854,0.0,0.002002002002002002,0.0,0.0,0.02902902902902903,0.11111111111111112,0.007007007007007007,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.0,0.0,0.02302302302302302,0.0,0.6486486486486487,0.02902902902902903,0.0,0.003003003003003003,0.0,0.0
131,0.0,0.0,0.0,0.8418418418418419,0.0,0.0,0.0,0.0,0.0,0.001001001001001001,0.0,0.0,0.0,0.0,0.005005005005005005,0.0,0.15215215215215214
132,0.041,0.315,0.004,0.172,0.02,0.003,0.045,0.0,0.39,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
133,0.011022044088176352,0.0,0.02004008016032064,0.021042084168336674,0.0,0.0,0.0,0.001002004008016032,0.11222444889779559,0.003006012024048096,0.0,0.001002004008016032,0.02404809619238477,0.014028056112224449,0.002004008016032064,0.16733466933867736,0.6232464929859719
134,0.01,0.017,0.0,0.586,0.082,0.014,0.072,0.002,0.046,0.0,0.0,0.0,0.136,0.0,0.0,0.033,0.002
135,0.46046046046046046,0.002002002002002002,0.0,0.08108108108108109,0.009009009009009009,0.022022022022022022,0.016016016016016016,0.005005005005005005,0.1971971971971972,0.016016016016016016,0.0,0.1031031031031031,0.005005005005005005,0.06306306306306306,0.0,0.02002002002002002,0.0
136,0.0,0.018018018018018018,0.05405405405405405,0.05905905905905905,0.0,0.22522522522522523,0.15915915915915915,0.008008008008008008,0.0,0.0,0.0850850850850851,0.1871871871871872,0.16216216216216217,0.0,0.03903903903903904,0.001001001001001001,0.002002002002002002
137,0.1058941058941059,0.034965034965034975,0.03696303696303697,0.027972027972027975,0.08191808191808193,0.03996003996003997,0.0029970029970029974,0.0,0.1158841158841159,0.004995004995004996,0.07392607392607393,0.4265734265734266,0.029970029970029972,0.0,0.015984015984015987,0.0,0.0019980019980019984
