budget_FLOPs,context_tokens,quality_family,loss_gap_to_best_cost_scenario,training_share,attention_share,quality_share
3e+22,30000,logarithmic,0.0,0.493157727225732,0.493157727225732,0.013684545548536011
1e+23,30000,logarithmic,0.0,0.4958154898308102,0.4958154898308102,0.008369020338379506
3e+23,30000,logarithmic,0.0,0.4958154898308102,0.4958154898308102,0.008369020338379505
1e+24,30000,logarithmic,0.0,0.4958154898308102,0.4958154898308102,0.008369020338379505
1e+19,32768,exponential,0.0,0.4441511114106055,0.4851314539567574,0.07071743463263715
3e+19,32768,exponential,0.06992508421737531,0.3729568564364074,0.4073683423902732,0.21967480117331942
1e+20,32768,exponential,0.054137873313006235,0.32742763068952613,0.35763828674781306,0.3149340825626608
3e+20,32768,exponential,0.02851202309361467,0.36524597730482133,0.39894600614414616,0.23580801655103248
1e+21,32768,exponential,0.014387462420869745,0.4017480682770279,0.4388160233767217,0.1594359083462504
3e+21,32768,exponential,0.0074883271012864405,0.42729838855825214,0.46672378654256025,0.1059778248991876
1e+22,32768,exponential,0.0035745462765066627,0.4470178561862421,0.4882627037170261,0.0647194400967317
3e+22,32768,exponential,0.0017929180792712884,0.4588227712392024,0.5011568189322062,0.04002040982859136
1e+23,32768,exponential,0.0,0.4660609250544402,0.5090628130727965,0.02487626187276316
3e+23,32768,exponential,0.0,0.46606092505444024,0.5090628130727967,0.02487626187276315
1e+24,32768,exponential,0.0,0.46606092505444024,0.5090628130727967,0.02487626187276315
1e+19,32768,power,0.004788113152235596,0.4779505480499618,0.5220494519500384,0.0
3e+19,32768,power,0.10885710308030516,0.3912679241640767,0.4273689113002821,0.18136316453564122
1e+20,32768,power,0.07691583350480835,0.29290826323380237,0.31993393232150785,0.38715780444468983
3e+20,32768,power,0.03665076953185897,0.3509019958029655,0.3832785532823858,0.26581945091464865
1e+21,32768,power,0.018661232283816442,0.3901505107975129,0.42614839792709674,0.18370109127539033
3e+21,32768,power,0.009779346349978457,0.4185583322960635,0.45717731442258025,0.12426435328135632
1e+22,32768,power,0.004694472347724243,0.4411307051927214,0.4818323649251699,0.0770369298821086
3e+22,32768,power,0.0023629542907182,0.45495932178084314,0.49693690187048895,0.048103776348667845
1e+23,32768,power,0.0,0.4634921161036522,0.5062569886828158,0.030250895213532
3e+23,32768,power,0.0,0.4634921161036521,0.5062569886828158,0.030250895213532022
1e+24,32768,power,0.0,0.4634921161036521,0.5062569886828158,0.030250895213532022
1e+19,32768,logarithmic,0.00478811315220673,0.4779505480499618,0.5220494519500382,0.0
3e+19,32768,logarithmic,0.0,0.2848152550439533,0.31109420924267533,0.40409053571337133
1e+20,32768,logarithmic,0.0,0.40354420990108913,0.4407778890012963,0.15567790109761453
3e+20,32768,logarithmic,0.0,0.42862805316088903,0.468176134865867,0.10319581197324398
1e+21,32768,logarithmic,0.0,0.44789931791219006,0.48922549497822143,0.06287518710958856
3e+21,32768,logarithmic,0.0,0.4593951065365313,0.5017819616996352,0.03882293176383343
1e+22,32768,logarithmic,0.0,0.4672487308081972,0.5103602137041001,0.022391055487702583
3e+22,32768,logarithmic,0.0,0.47155595992260424,0.5150648564914633,0.013379183585932415
1e+23,32768,logarithmic,0.0,0.47412555316142757,0.517871537533122,0.008002909305450358
3e+23,32768,logarithmic,0.0,0.47412555316142757,0.5178715375331221,0.008002909305450362
1e+24,32768,logarithmic,0.0,0.47412555316142757,0.5178715375331221,0.008002909305450362
3e+19,49152,exponential,0.06845379561301179,0.29934458503061023,0.4904461681141518,0.2102092468552379
1e+20,49152,exponential,0.054643087156277304,0.26353608225317604,0.4317775171636035,0.3046864005832205
3e+20,49152,exponential,0.026911005001467814,0.2960742722962666,0.4850880877302031,0.21883763997353023
1e+21,49152,exponential,0.013480225464002515,0.32364194668633606,0.530254965450893,0.14610308786277085
3e+21,49152,exponential,0.006979340302473602,0.3425679513998579,0.5612633315735271,0.09616871702661502
1e+22,49152,exponential,0.0033178910263109707,0.35693917170548234,0.5848091389222624,0.05825168937225521
3e+22,49152,exponential,0.001660049269319508,0.36543527694668654,0.5987291577494512,0.03583556530386219
1e+23,49152,exponential,0.0007696863588000369,0.37120445966470506,0.6081813867146528,0.020614153620642162
