policy,support,N_params_B,D_tokens_B,Q_score,lambda,eta,bridge_model,status,Loss,difference_from_baseline
equal_13,continuous_hull,0.1,100.0,0.5,0.5,0.2,linear_bridge,valid,2.7802242814029765,0.05357912909282758
equal_13,continuous_hull,0.1,100.0,0.5,0.5,0.4,exp_bridge,valid,2.6474842578734985,-0.07916089443665042
equal_13,continuous_hull,0.1,100.0,0.5,0.5,0.4,linear_bridge,valid,2.6169987727009922,-0.10964637960915669
equal_13,continuous_hull,0.1,100.0,0.5,0.75,0.0,exp_bridge,valid,2.806252478219597,0.07960732590944808
equal_13,continuous_hull,0.1,100.0,0.5,0.75,0.0,linear_bridge,valid,2.795172324108255,0.06852717179810597
equal_13,continuous_hull,0.1,100.0,0.5,0.75,0.1,exp_bridge,valid,2.7442173104615053,0.017572158151356376
equal_13,continuous_hull,0.1,100.0,0.5,0.75,0.1,linear_bridge,valid,2.7267847184456357,0.00013956613548682384
equal_13,continuous_hull,0.1,100.0,0.5,0.75,0.2,exp_bridge,valid,2.6680658648484594,-0.0585792874616895
equal_13,continuous_hull,0.1,100.0,0.5,0.75,0.2,linear_bridge,valid,2.640689823825206,-0.08595532848494303
equal_13,continuous_hull,0.1,100.0,0.5,0.75,0.4,exp_bridge,valid,2.4628588880333604,-0.26378626427678853
equal_13,continuous_hull,0.1,100.0,0.5,0.75,0.4,linear_bridge,valid,2.39585156077223,-0.330793591537919
equal_13,continuous_hull,0.1,100.0,0.5,1.0,0.0,exp_bridge,valid,2.726645152310149,0.0
equal_13,continuous_hull,0.1,100.0,0.5,1.0,0.0,linear_bridge,valid,2.7071320332915003,-0.019513119018648606
equal_13,continuous_hull,0.1,100.0,0.5,1.0,0.1,exp_bridge,valid,2.646575568618089,-0.08006958369205996
equal_13,continuous_hull,0.1,100.0,0.5,1.0,0.1,linear_bridge,valid,2.615948559074675,-0.11069659323547398
equal_13,continuous_hull,0.1,100.0,0.5,1.0,0.2,exp_bridge,valid,2.5491087383636337,-0.1775364139465152
equal_13,continuous_hull,0.1,100.0,0.5,1.0,0.2,linear_bridge,valid,2.5011553662474353,-0.22548978606271364
equal_13,continuous_hull,0.1,100.0,0.5,1.0,0.4,exp_bridge,valid,2.291108581411157,-0.435536570898992
equal_13,continuous_hull,0.1,100.0,0.5,1.0,0.4,linear_bridge,valid,2.1747043488434668,-0.5519408034666822
equal_13,continuous_hull,0.1,100.0,0.5,1.25,0.0,exp_bridge,valid,2.649296114415639,-0.07734903789451009
equal_13,continuous_hull,0.1,100.0,0.5,1.25,0.0,linear_bridge,valid,2.619091742474746,-0.10755340983540274
equal_13,continuous_hull,0.1,100.0,0.5,1.25,0.1,exp_bridge,valid,2.552408008543686,-0.17423714376646293
equal_13,continuous_hull,0.1,100.0,0.5,1.25,0.1,linear_bridge,valid,2.505112399703714,-0.2215327526064348
equal_13,continuous_hull,0.1,100.0,0.5,1.25,0.2,exp_bridge,valid,2.4354553782242947,-0.2911897740858542
equal_13,continuous_hull,0.1,100.0,0.5,1.25,0.2,linear_bridge,valid,2.3616209086696647,-0.36502424364048425
equal_13,continuous_hull,0.1,100.0,0.5,1.25,0.4,exp_bridge,valid,2.131335480615949,-0.5953096716942001
equal_13,continuous_hull,0.1,100.0,0.5,1.25,0.4,linear_bridge,valid,1.9535571369147042,-0.7730880153954447
equal_13,continuous_hull,0.1,100.0,0.5,1.5,0.0,exp_bridge,valid,2.574141301779277,-0.1525038505308718
equal_13,continuous_hull,0.1,100.0,0.5,1.5,0.0,linear_bridge,valid,2.531051451657992,-0.19559370065215687
equal_13,continuous_hull,0.1,100.0,0.5,1.5,0.1,exp_bridge,valid,2.4615910156986915,-0.2650541366114574
equal_13,continuous_hull,0.1,100.0,0.5,1.5,0.1,linear_bridge,valid,2.3942762403327538,-0.33236891197739515
equal_13,continuous_hull,0.1,100.0,0.5,1.5,0.2,exp_bridge,valid,2.3268693132052323,-0.39977583910491665
equal_13,continuous_hull,0.1,100.0,0.5,1.5,0.2,linear_bridge,valid,2.2220864510918936,-0.5045587012182553
equal_13,continuous_hull,0.1,100.0,0.5,1.5,0.4,exp_bridge,valid,1.982704341378055,-0.743940810932094
equal_13,continuous_hull,0.1,100.0,0.5,1.5,0.4,linear_bridge,valid,1.7324099249859417,-0.9942352273242072
equal_13,continuous_hull,1.0,100.0,0.5,0,0.0,exp_bridge,valid,2.5673967252758954,0.2791623569893287
equal_13,continuous_hull,1.0,100.0,0.5,0,0.0,linear_bridge,valid,2.5673967252758954,0.2791623569893287
equal_13,continuous_hull,1.0,100.0,0.5,0,0.1,exp_bridge,valid,2.5673967252758954,0.2791623569893287
equal_13,continuous_hull,1.0,100.0,0.5,0,0.1,linear_bridge,valid,2.5673967252758954,0.2791623569893287
equal_13,continuous_hull,1.0,100.0,0.5,0,0.2,exp_bridge,valid,2.5673967252758954,0.2791623569893287
equal_13,continuous_hull,1.0,100.0,0.5,0,0.2,linear_bridge,valid,2.5673967252758954,0.2791623569893287
equal_13,continuous_hull,1.0,100.0,0.5,0,0.4,exp_bridge,valid,2.5673967252758954,0.2791623569893287
equal_13,continuous_hull,1.0,100.0,0.5,0,0.4,linear_bridge,valid,2.5673967252758954,0.2791623569893287
equal_13,continuous_hull,1.0,100.0,0.5,0.5,0.0,exp_bridge,valid,2.423799790371038,0.13556542208447153
equal_13,continuous_hull,1.0,100.0,0.5,0.5,0.0,linear_bridge,valid,2.4196277212526494,0.13139335296608268
equal_13,continuous_hull,1.0,100.0,0.5,0.5,0.1,exp_bridge,valid,2.423799790371038,0.13556542208447153
equal_13,continuous_hull,1.0,100.0,0.5,0.5,0.1,linear_bridge,valid,2.4196277212526494,0.13139335296608268
equal_13,continuous_hull,1.0,100.0,0.5,0.5,0.2,exp_bridge,valid,2.423799790371038,0.13556542208447153
equal_13,continuous_hull,1.0,100.0,0.5,0.5,0.2,linear_bridge,valid,2.4196277212526494,0.13139335296608268
equal_13,continuous_hull,1.0,100.0,0.5,0.5,0.4,exp_bridge,valid,2.423799790371038,0.13556542208447153
equal_13,continuous_hull,1.0,100.0,0.5,0.5,0.4,linear_bridge,valid,2.4196277212526494,0.13139335296608268
equal_13,continuous_hull,1.0,100.0,0.5,0.75,0.0,exp_bridge,valid,2.3550418217460143,0.06680745345944761
equal_13,continuous_hull,1.0,100.0,0.5,0.75,0.0,linear_bridge,valid,2.3457432192410264,0.05750885095445968
equal_13,continuous_hull,1.0,100.0,0.5,0.75,0.1,exp_bridge,valid,2.3550418217460143,0.06680745345944761
equal_13,continuous_hull,1.0,100.0,0.5,0.75,0.1,linear_bridge,valid,2.3457432192410264,0.05750885095445968
equal_13,continuous_hull,1.0,100.0,0.5,0.75,0.2,exp_bridge,valid,2.3550418217460143,0.06680745345944761
equal_13,continuous_hull,1.0,100.0,0.5,0.75,0.2,linear_bridge,valid,2.3457432192410264,0.05750885095445968
equal_13,continuous_hull,1.0,100.0,0.5,0.75,0.4,exp_bridge,valid,2.3550418217460143,0.06680745345944761
equal_13,continuous_hull,1.0,100.0,0.5,0.75,0.4,linear_bridge,valid,2.3457432192410264,0.05750885095445968
equal_13,continuous_hull,1.0,100.0,0.5,1.0,0.0,exp_bridge,valid,2.2882343682865667,0.0
equal_13,continuous_hull,1.0,100.0,0.5,1.0,0.0,linear_bridge,valid,2.271858717229403,-0.016375651057163765
equal_13,continuous_hull,1.0,100.0,0.5,1.0,0.1,exp_bridge,valid,2.2882343682865667,0.0
equal_13,continuous_hull,1.0,100.0,0.5,1.0,0.1,linear_bridge,valid,2.271858717229403,-0.016375651057163765
equal_13,continuous_hull,1.0,100.0,0.5,1.0,0.2,exp_bridge,valid,2.2882343682865667,0.0
equal_13,continuous_hull,1.0,100.0,0.5,1.0,0.2,linear_bridge,valid,2.271858717229403,-0.016375651057163765
