scope,metric_a,metric_b,n,rho,p,q_bh,significant_negative,n_domain_negative,n_domain_significant_negative,n_domain_valid,arxiv_rho,arxiv_q,arxiv_replicated,github_rho,github_q,github_replicated,replicated,stable_conflict,cause_pattern
A1_pooled,modernbert_professionalism,rps_lines_uppercase_letter_fraction,51225,0.25644427622905624,0.0,0.0,False,5,5,7,-0.27945093916922426,4.695882602527405e-286,True,-0.20221059230664448,0.0,True,True,False,multi_domain
A1_pooled,modernbert_professionalism,rps_lines_ending_with_terminal_punctution_mark,51225,-0.5191423838185976,0.0,0.0,True,5,4,6,-0.25692648868004586,1.514325318265164e-240,True,-0.24330323414833466,0.0,True,True,True,multi_domain
A1_pooled,modernbert_professionalism,rps_lines_numerical_chars_fraction,51225,0.010754857912037112,0.014926742160507817,0.01567307926853321,False,3,3,7,-0.08485005544668502,6.2840578278848096e-27,True,0.08381201166898876,7.123669573352116e-299,False,True,False,domain_specific
A1_pooled,modernbert_professionalism,rps_doc_mean_word_length,51225,-0.4994398262423047,0.0,0.0,True,7,7,7,-0.16979255631770462,4.771788146144779e-104,True,-0.19630147823723174,0.0,True,True,True,multi_domain
A1_pooled,dsir_books,dsir_wiki,51230,0.9990023510169438,0.0,0.0,False,0,0,7,0.9998175773355472,0.0,False,0.999929153932366,0.0,False,False,False,pooled_only
A1_pooled,dsir_books,dsir_math,51230,0.9969390611566802,0.0,0.0,False,0,0,7,0.9937694998391449,0.0,False,0.9996157757879981,0.0,False,False,False,pooled_only
A1_pooled,dsir_books,qurater,51230,0.25602659841392184,0.0,0.0,False,2,1,7,-0.010281430470593449,0.19889595830175183,False,0.0701468285670504,8.650915563951714e-210,False,False,False,domain_specific
A1_pooled,dsir_books,ad_en,51230,-0.16047012495318655,1.3737846449040839e-292,2.144217925492185e-292,True,6,5,7,0.19879901321733864,8.880916485189853e-143,False,-0.29349919977970346,0.0,True,True,True,multi_domain
A1_pooled,dsir_books,rps_doc_word_count,51230,0.8894306212608227,0.0,0.0,False,0,0,7,0.7823820033409039,0.0,False,0.9557501396437684,0.0,False,False,False,pooled_only
A1_pooled,dsir_books,rps_doc_num_sentences,51230,0.8926110562068038,0.0,0.0,False,0,0,7,0.7099177691263457,0.0,False,0.8370920385353933,0.0,False,False,False,pooled_only
A1_pooled,dsir_books,rps_doc_unigram_entropy,51230,0.8045742287371224,0.0,0.0,False,0,0,7,0.6137648852035398,0.0,False,0.8818895537805476,0.0,False,False,False,pooled_only
A1_pooled,dsir_books,rps_doc_frac_unique_words,51230,0.8183966487385943,0.0,0.0,False,0,0,7,0.6653143859381542,0.0,False,0.8139208314473617,0.0,False,False,False,pooled_only
A1_pooled,dsir_books,rps_doc_frac_no_alph_words,51230,-0.18109259356408713,0.0,0.0,True,7,6,7,-0.6279940389793817,0.0,True,-0.32158316743541443,0.0,True,True,True,multi_domain
A1_pooled,dsir_books,rps_doc_frac_chars_top_2gram,51230,0.2882677139169582,0.0,0.0,False,1,1,7,0.2757762264887729,2.4638470835700392e-278,False,-0.10200448875685053,0.0,True,True,False,domain_specific
A1_pooled,dsir_books,rps_doc_frac_chars_top_3gram,51230,0.028546087599875338,1.0312781439217945e-10,1.1620743963216319e-10,False,4,3,7,-0.16822858660038806,3.8092179704476e-102,True,0.3337500627709537,0.0,False,True,False,domain_specific
A1_pooled,dsir_books,rps_lines_uppercase_letter_fraction,51230,-0.1250993534218265,9.628851599773807e-178,1.3562589753339935e-177,True,6,6,7,-0.24518067668069357,1.5700703735931038e-218,True,-0.38947705731673155,0.0,True,True,True,multi_domain
A1_pooled,dsir_books,rps_lines_ending_with_terminal_punctution_mark,51230,-0.2628555460997197,0.0,0.0,True,3,3,6,-0.22152399977902687,1.0380257592567803e-177,True,-0.336887664303304,0.0,True,True,True,domain_specific
