rep,metric,orientation,global_rho
21,qurater,1,
21,ad_en,1,
21,rps_doc_word_count,1,0.3763446335836984
21,rps_doc_num_sentences,1,0.26821623483235413
21,rps_doc_unigram_entropy,1,0.34445257080035624
21,rps_doc_frac_unique_words,-1,-0.37310157668189664
21,rps_doc_frac_no_alph_words,-1,-0.11404777000539314
21,rps_doc_frac_chars_top_2gram,-1,-0.08797210131333129
21,rps_doc_frac_chars_top_3gram,1,0.04551887498709059
21,rps_lines_uppercase_letter_fraction,1,0.02315481733113544
21,rps_lines_ending_with_terminal_punctution_mark,1,0.06367467981079171
21,rps_lines_numerical_chars_fraction,1,0.09560480766985816
21,rps_doc_mean_word_length,-1,-0.20653380393719928
22,fineweb_edu,1,
22,fluency_en,1,
22,modernbert_cleanliness,1,
22,modernbert_readability,1,
22,modernbert_reasoning,1,
22,modernbert_professionalism,1,
22,dsir_books,-1,-0.30987783452651374
22,dsir_wiki,-1,-0.3109166630318498
22,dsir_math,-1,-0.30646344262557706
22,qurater,1,
22,ad_en,1,
22,rps_doc_word_count,1,0.3928838233607439
22,rps_doc_num_sentences,1,0.28585100027437976
22,rps_doc_unigram_entropy,1,0.36065495769221284
22,rps_doc_frac_unique_words,-1,-0.38880366958823015
22,rps_doc_frac_no_alph_words,-1,-0.11579277411126775
22,rps_doc_frac_chars_top_2gram,-1,-0.09616034689037536
22,rps_doc_frac_chars_top_3gram,1,0.03963077800375023
22,rps_lines_uppercase_letter_fraction,1,0.023550313386433937
22,rps_lines_ending_with_terminal_punctution_mark,1,0.05008310544979893
22,rps_lines_numerical_chars_fraction,1,0.10552654136884562
22,rps_doc_mean_word_length,-1,-0.20167298039454584
23,fineweb_edu,1,
23,fluency_en,1,
23,modernbert_cleanliness,1,
23,modernbert_readability,1,
23,modernbert_reasoning,1,
23,modernbert_professionalism,1,
23,dsir_books,-1,-0.3034633422190233
23,dsir_wiki,-1,-0.3041066279345977
23,dsir_math,-1,-0.3003742774485917
23,qurater,1,
23,ad_en,1,
23,rps_doc_word_count,1,0.3833831819728205
23,rps_doc_num_sentences,1,0.2827764911885746
23,rps_doc_unigram_entropy,1,0.35356799963611746
23,rps_doc_frac_unique_words,-1,-0.378192357099826
23,rps_doc_frac_no_alph_words,-1,-0.09985980798102248
23,rps_doc_frac_chars_top_2gram,-1,-0.09710789309057648
23,rps_doc_frac_chars_top_3gram,1,0.038508903723184836
23,rps_lines_uppercase_letter_fraction,1,0.02781988508764202
23,rps_lines_ending_with_terminal_punctution_mark,1,0.04956700092039947
23,rps_lines_numerical_chars_fraction,1,0.10346013849620651
23,rps_doc_mean_word_length,-1,-0.192211805779144
24,fineweb_edu,1,
24,fluency_en,1,
24,modernbert_cleanliness,1,
24,modernbert_readability,1,
24,modernbert_reasoning,1,
24,modernbert_professionalism,1,
24,dsir_books,-1,-0.3031377269938034
24,dsir_wiki,-1,-0.30422662412528273
24,dsir_math,-1,-0.299376611299068
24,qurater,1,
24,ad_en,1,
24,rps_doc_word_count,1,0.3821045361334383
24,rps_doc_num_sentences,1,0.2801330675628865
24,rps_doc_unigram_entropy,1,0.3490406085290355
24,rps_doc_frac_unique_words,-1,-0.3826429908818033
24,rps_doc_frac_no_alph_words,-1,-0.1076669598368226
24,rps_doc_frac_chars_top_2gram,-1,-0.09260056990224501
24,rps_doc_frac_chars_top_3gram,1,0.04744012279603103
24,rps_lines_uppercase_letter_fraction,1,0.034071053998998194
24,rps_lines_ending_with_terminal_punctution_mark,1,0.04213161140592295
