rep,domain,Q_median,rank,rank_primary_holdout
72,commoncrawl,0.42585338816519613,3,3
72,github,-0.5068606203647346,7,7
72,stackexchange,0.26201177345066695,4,4
72,wikipedia,-0.30821765824042896,6,6
73,arxiv,2.712768617790758,2,2
73,book,2.9879670704504906,1,1
73,c4,-0.29590092032712717,5,5
73,commoncrawl,0.42585338816519613,3,3
73,github,-0.5068606203647346,7,7
73,stackexchange,0.26201177345066695,4,4
73,wikipedia,-0.30821765824042896,6,6
74,arxiv,2.712768617790758,2,2
74,book,2.9879670704504906,1,1
74,c4,-0.29590092032712717,5,5
74,commoncrawl,0.42585338816519613,3,3
74,github,-0.5068606203647346,7,7
74,stackexchange,0.26201177345066695,4,4
74,wikipedia,-0.30821765824042896,6,6
75,arxiv,2.712768617790758,2,2
75,book,2.9879670704504906,1,1
75,c4,-0.29590092032712717,5,5
75,commoncrawl,0.42585338816519613,3,3
75,github,-0.5068606203647346,7,7
75,stackexchange,0.26201177345066695,4,4
75,wikipedia,-0.30821765824042896,6,6
76,arxiv,2.712768617790758,2,2
76,book,2.9879670704504906,1,1
76,c4,-0.29590092032712717,5,5
76,commoncrawl,0.42585338816519613,3,3
76,github,-0.5068606203647346,7,7
76,stackexchange,0.26201177345066695,4,4
76,wikipedia,-0.30821765824042896,6,6
77,arxiv,2.712768617790758,2,2
77,book,2.9879670704504906,1,1
