type,resource_gate,horizon_months,compute_scenario,model,eta,retention,resource_multiplier,conditional_p05,conditional_p95
non_pretrained,primary,12,quarter,frontier_trend,0.5,1.0,1.5,52.93428484378985,64.61224187670341
non_pretrained,primary,12,quarter,frontier_trend,0.75,0.0,0.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,frontier_trend,0.75,0.0,1.0,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,frontier_trend,0.75,0.0,1.5,37.754788736630566,41.5351809401351
non_pretrained,primary,12,quarter,frontier_trend,0.75,0.5,0.5,45.89425118688804,53.05482104275585
non_pretrained,primary,12,quarter,frontier_trend,0.75,0.5,1.0,45.89425118688804,53.05482104275585
non_pretrained,primary,12,quarter,frontier_trend,0.75,0.5,1.5,45.89425118688804,53.05482104275585
non_pretrained,primary,12,quarter,frontier_trend,0.75,1.0,0.5,52.93428484378985,64.61224187670341
non_pretrained,primary,12,quarter,frontier_trend,0.75,1.0,1.0,52.93428484378985,64.61224187670341
non_pretrained,primary,12,quarter,frontier_trend,0.75,1.0,1.5,52.93428484378985,64.61224187670341
non_pretrained,primary,12,quarter,quantile_resource,0.25,0.0,0.5,38.313838547832894,42.09846992644423
non_pretrained,primary,12,quarter,quantile_resource,0.25,0.0,1.0,38.875997722893516,42.6638235453954
non_pretrained,primary,12,quarter,quantile_resource,0.25,0.0,1.5,39.44113252744631,43.231100837129404
non_pretrained,primary,12,quarter,quantile_resource,0.25,0.5,0.5,46.17608720288717,51.957174285760345
non_pretrained,primary,12,quarter,quantile_resource,0.25,0.5,1.0,46.74896610757531,52.52947869351042
non_pretrained,primary,12,quarter,quantile_resource,0.25,0.5,1.5,47.33545834593408,53.10111937518514
non_pretrained,primary,12,quarter,quantile_resource,0.25,1.0,0.5,53.96884193080936,62.10788013203251
non_pretrained,primary,12,quarter,quantile_resource,0.25,1.0,1.0,54.51419555354472,62.646198194929035
non_pretrained,primary,12,quarter,quantile_resource,0.25,1.0,1.5,55.08248155962194,63.1814022422467
non_pretrained,primary,12,quarter,quantile_resource,0.5,0.0,0.5,38.875997722893516,42.6638235453954
non_pretrained,primary,12,quarter,quantile_resource,0.5,0.0,1.0,40.00910611879547,43.80015884646684
non_pretrained,primary,12,quarter,quantile_resource,0.5,0.0,1.5,41.15300747334305,44.94303605948666
non_pretrained,primary,12,quarter,quantile_resource,0.5,0.5,0.5,46.74896610757531,52.52947869351042
