target,domain_i,domain_j,gamma_full,fold_gamma_json,fold_min,fold_max,same_sign_fold_count,fold_count,alpha
ubuntu_irc,arxiv,pubmed_central,-3.19244902581054,"[-2.60166921454033,-3.6203275735875646,-3.6546767715497364,-2.442382735513294,-3.706642308953252]",-3.706642308953252,-2.442382735513294,5,5,0.01
ubuntu_irc,arxiv,github,-4.624277245297023,"[-3.9239251697362865,-6.010605197082389,-3.458363927368608,-4.320735447954948,-4.644322294287505]",-6.010605197082389,-3.458363927368608,5,5,0.01
ubuntu_irc,arxiv,pile_cc,-1.2090984520100354,"[-2.7731920496987494,-0.5317905128241155,-1.0526006661781666,-0.7478942790018549,-0.6003634017460371]",-2.7731920496987494,-0.5317905128241155,5,5,0.01
ubuntu_irc,pubmed_central,github,-3.140398959775237,"[-2.4163482387320188,-3.223775679758837,-4.0182979072024,-2.049947392326611,-3.4673523008106173]",-4.0182979072024,-2.049947392326611,5,5,0.01
ubuntu_irc,pubmed_central,pile_cc,-2.773227306209016,"[-1.143804527209774,-2.1790234280127394,-3.9966218406163634,-3.8448107345573432,-2.8386052249088904]",-3.9966218406163634,-1.143804527209774,5,5,0.01
ubuntu_irc,github,pile_cc,-1.994847577760202,"[-2.397605921570143,-1.7282057881823307,-1.7314315385398693,-2.271062432937437,-1.6993691387454772]",-2.397605921570143,-1.6993691387454772,5,5,0.01
hackernews,freelaw,arxiv,0.08184100157684218,"[0.14982514381102974,0.0269638071141606,-0.034313634402547324,0.3592205446494125,0.019593537307986495]",-0.034313634402547324,0.3592205446494125,4,5,0.001
hackernews,freelaw,pubmed_central,-1.1674372067605348,"[-0.9826209741074922,-1.6020210684801541,-1.034350086994817,-0.9811399253358802,-1.220151632920613]",-1.6020210684801541,-0.9811399253358802,5,5,0.001
hackernews,freelaw,github,-0.47030026723264806,"[-0.1634402363420311,-0.5629210041241515,-0.7089001487983648,-0.3668677148739514,-0.6331683458092451]",-0.7089001487983648,-0.1634402363420311,5,5,0.001
hackernews,freelaw,pile_cc,-0.9142979968733141,"[-1.1159594051529198,-0.7898805832090087,-1.0318183361309337,-0.8146759198804318,-0.8594122950470914]",-1.1159594051529198,-0.7898805832090087,5,5,0.001
hackernews,arxiv,pubmed_central,-0.06454598493083732,"[-0.35009584565106805,-0.03979746957365707,-0.19200630306350236,0.2148863040394867,-0.012767613394788328]",-0.35009584565106805,0.2148863040394867,4,5,0.001
hackernews,arxiv,github,-0.6009807952610746,"[-0.9192522053022705,-0.5962081950823993,-0.24668542434557386,-0.6806665267180076,-0.5996268607526695]",-0.9192522053022705,-0.24668542434557386,5,5,0.001
hackernews,arxiv,pile_cc,-1.6905411126331813,"[-1.81868985810807,-1.8418926013016976,-1.4825719995544582,-1.6244739232844554,-1.6081608100157803]",-1.8418926013016976,-1.4825719995544582,5,5,0.001
hackernews,pubmed_central,github,-0.8804486475941428,"[-0.7291005756265939,-1.1660604085228785,-1.065876541050911,-0.5004696069279738,-0.8327100342285666]",-1.1660604085228785,-0.5004696069279738,5,5,0.001
hackernews,pubmed_central,pile_cc,-2.220083289938794,"[-1.7468580268784593,-2.43537436347417,-2.2869226846205835,-2.5491653316400873,-2.1461823783756833]",-2.5491653316400873,-1.7468580268784593,5,5,0.001
hackernews,github,pile_cc,-0.8189555048513957,"[-0.88044871043449,-0.7353293469826694,-0.7581482494452769,-0.91733824212632,-0.7494830371087405]",-0.91733824212632,-0.7353293469826694,5,5,0.001
pubmed_abstracts,freelaw,arxiv,0.16657340347547311,"[0.46793829738541437,-0.1850055585051521,0.27535814881066484,0.5794106341797491,-0.13268942723347557]",-0.1850055585051521,0.5794106341797491,3,5,0.1
pubmed_abstracts,freelaw,pubmed_central,-1.5149061144892375,"[-1.4219326152078338,-1.5512834697221392,-1.4277319946629563,-1.1464898977189248,-1.3258680905855882]",-1.5512834697221392,-1.1464898977189248,5,5,0.1
pubmed_abstracts,freelaw,github,-0.10774613835723636,"[-0.2537855854212392,-0.4224088482140118,0.22122075767303986,0.48350804482813625,-0.818234305608819]",-0.818234305608819,0.48350804482813625,3,5,0.1
pubmed_abstracts,freelaw,pile_cc,-0.6821932457792368,"[-1.1462805832699077,-0.3730626036068987,-0.669991829337856,-0.19188916530018937,-0.6914760288639107]",-1.1462805832699077,-0.19188916530018937,5,5,0.1
pubmed_abstracts,arxiv,pubmed_central,-1.4342549392761466,"[-1.3658711625278588,-1.4167888381669365,-1.4400722608095835,-1.2792446672795839,-1.1365775913875842]",-1.4400722608095835,-1.1365775913875842,5,5,0.1
pubmed_abstracts,arxiv,github,-1.3518326747185905,"[-1.340869265419485,-1.329624080559024,-1.1475718893745066,-1.185846398068848,-0.928925644781694]",-1.340869265419485,-0.928925644781694,5,5,0.1
pubmed_abstracts,arxiv,pile_cc,-0.34318866640469853,"[-0.21361054855023742,-0.30660169984185526,-0.2752917387263667,-0.26292835465261877,-0.40510930040938814]",-0.40510930040938814,-0.21361054855023742,5,5,0.1
