scenario,Q0,quality_bridge_scale,mixture_bridge_lambda,budget_FLOPs,context_tokens,quality_family,status,eligible_observed_recipes,feasible_observed_recipes,recipe_index,N_params_B,D_tokens_B,Q_B_proxy,conditional_bridge_loss,C_total_FLOPs
Q0_0p60,0.6,1.0,1.0,1e+24,2048,power,conditional_v8_fixed_policy_feasible,73,73,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.3110929649144944e+22
Q0_0p60,0.6,1.0,1.0,1e+24,2048,logarithmic,conditional_v8_fixed_policy_feasible,73,73,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.3058863821809106e+22
Q0_0p60,0.6,1.0,1.0,1e+24,8192,exponential,conditional_v8_fixed_policy_feasible,73,73,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.746880513010125e+22
Q0_0p60,0.6,1.0,1.0,1e+24,8192,power,conditional_v8_fixed_policy_feasible,73,73,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.7520438091328623e+22
Q0_0p60,0.6,1.0,1.0,1e+24,8192,logarithmic,conditional_v8_fixed_policy_feasible,73,73,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.7468372263992784e+22
Q0_0p60,0.6,1.0,1.0,1e+24,131072,exponential,conditional_v8_fixed_policy_feasible,73,73,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,1.1565897397377484e+23
Q0_0p60,0.6,1.0,1.0,1e+24,131072,power,conditional_v8_fixed_policy_feasible,73,73,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,1.1571060693500222e+23
Q0_0p60,0.6,1.0,1.0,1e+24,131072,logarithmic,conditional_v8_fixed_policy_feasible,73,73,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,1.1565854110766638e+23
Q0_0p65,0.65,1.0,1.0,1e+19,2048,exponential,conditional_v8_fixed_policy_feasible,60,26,172,0.14547663667896849,10.0,0.6713607648391644,2.9866662230648324,1e+19
Q0_0p65,0.65,1.0,1.0,1e+19,2048,power,conditional_v8_fixed_policy_feasible,60,21,172,0.13678932777787897,10.0,0.6713607648391644,3.001304262361974,1e+19
Q0_0p65,0.65,1.0,1.0,1e+19,2048,logarithmic,conditional_v8_fixed_policy_feasible,60,41,172,0.14725319031678166,10.0,0.6713607648391644,2.9838137664740967,1e+19
Q0_0p65,0.65,1.0,1.0,1e+19,8192,exponential,conditional_v8_fixed_policy_feasible,60,25,172,0.12207360840719475,10.0,0.6713607648391644,3.0291178246769386,1e+19
Q0_0p65,0.65,1.0,1.0,1e+19,8192,power,conditional_v8_fixed_policy_feasible,60,20,172,0.11478383893552224,10.0,0.6713607648391644,3.044584250685579,1e+19
Q0_0p65,0.65,1.0,1.0,1e+19,8192,logarithmic,conditional_v8_fixed_policy_feasible,60,33,172,0.12356436539778536,10.000000000000002,0.6713607648391644,3.0261041044830375,1e+19
Q0_0p65,0.65,1.0,1.0,1e+19,131072,exponential,infeasible_within_v8_support,60,0,,,,,,
Q0_0p65,0.65,1.0,1.0,1e+19,131072,power,infeasible_within_v8_support,60,0,,,,,,
Q0_0p65,0.65,1.0,1.0,1e+19,131072,logarithmic,infeasible_within_v8_support,60,0,,,,,,
Q0_0p65,0.65,1.0,1.0,1e+22,2048,exponential,conditional_v8_fixed_policy_feasible,60,60,172,7.153504455200683,217.77641302872462,0.6713607648391644,2.0798829409344477,1e+22
Q0_0p65,0.65,1.0,1.0,1e+22,2048,power,conditional_v8_fixed_policy_feasible,60,60,172,7.165765756821735,217.14146270445954,0.6713607648391644,2.079975628731471,1e+22
Q0_0p65,0.65,1.0,1.0,1e+22,2048,logarithmic,conditional_v8_fixed_policy_feasible,60,60,172,7.150992657234398,217.90685070045623,0.6713607648391644,2.079863961689344,1e+22
Q0_0p65,0.65,1.0,1.0,1e+22,8192,exponential,conditional_v8_fixed_policy_feasible,60,60,172,6.5452705874921335,199.74852537534332,0.6713607648391644,2.093438080338378,1e+22
