filter,type,horizon_months,scenario,eta,drift_retention,frontier_quantile,anchor_window_months,score
expanded_latest,non_pretrained,12,no_growth,0.75,0.0,0.9,2,40.67628242552743
expanded_latest,non_pretrained,12,no_growth,0.75,0.5,0.9,2,49.54391495192314
expanded_latest,non_pretrained,12,no_growth,0.75,1.0,0.9,2,58.44033437814532
expanded_latest,non_pretrained,12,no_growth,0.5,0.5,0.85,2,48.494740053990824
expanded_latest,non_pretrained,12,no_growth,0.5,0.5,0.95,2,50.79265663396306
expanded_latest,non_pretrained,12,no_growth,0.5,0.5,0.9,1,50.43112878494773
expanded_latest,non_pretrained,12,no_growth,0.5,0.5,0.9,3,49.30584463440539
expanded_latest,non_pretrained,24,historical_growth,0.25,0.0,0.9,2,49.80357081297087
expanded_latest,non_pretrained,24,historical_growth,0.25,0.5,0.9,2,67.04857797732511
expanded_latest,non_pretrained,24,historical_growth,0.25,1.0,0.9,2,80.66867000075274
expanded_latest,non_pretrained,24,historical_growth,0.5,0.0,0.9,2,58.94396940946374
expanded_latest,non_pretrained,24,historical_growth,0.5,0.5,0.9,2,74.64731246861294
expanded_latest,non_pretrained,24,historical_growth,0.5,1.0,0.9,2,85.79211453479873
expanded_latest,non_pretrained,24,historical_growth,0.75,0.0,0.9,2,67.5058981813883
expanded_latest,non_pretrained,24,historical_growth,0.75,0.5,0.9,2,80.99055491000318
expanded_latest,non_pretrained,24,historical_growth,0.75,1.0,0.9,2,89.7305402862917
expanded_latest,non_pretrained,24,historical_growth,0.5,0.5,0.85,2,73.84455896372077
expanded_latest,non_pretrained,24,historical_growth,0.5,0.5,0.95,2,75.58098521567095
expanded_latest,non_pretrained,24,historical_growth,0.5,0.5,0.9,1,75.31306123442997
expanded_latest,non_pretrained,24,historical_growth,0.5,0.5,0.9,3,74.4666453609535
expanded_latest,non_pretrained,24,half_growth,0.25,0.0,0.9,2,45.19956656197217
expanded_latest,non_pretrained,24,half_growth,0.25,0.5,0.9,2,62.84632067734228
expanded_latest,non_pretrained,24,half_growth,0.25,1.0,0.9,2,77.6236886787311
expanded_latest,non_pretrained,24,half_growth,0.5,0.0,0.9,2,49.80357081297087
expanded_latest,non_pretrained,24,half_growth,0.5,0.5,0.9,2,67.04857797732511
expanded_latest,non_pretrained,24,half_growth,0.5,1.0,0.9,2,80.66867000075274
expanded_latest,non_pretrained,24,half_growth,0.75,0.0,0.9,2,54.410908471918134
expanded_latest,non_pretrained,24,half_growth,0.75,0.5,0.9,2,70.99490031388892
expanded_latest,non_pretrained,24,half_growth,0.75,1.0,0.9,2,83.3879651720205
expanded_latest,non_pretrained,24,half_growth,0.5,0.5,0.85,2,66.11444177733372
expanded_latest,non_pretrained,24,half_growth,0.5,0.5,0.95,2,68.14266381931712
expanded_latest,non_pretrained,24,half_growth,0.5,0.5,0.9,1,67.82786668804324
expanded_latest,non_pretrained,24,half_growth,0.5,0.5,0.9,3,66.83781723572356
expanded_latest,non_pretrained,24,quarter_growth,0.25,0.0,0.9,2,42.92314982912664
expanded_latest,non_pretrained,24,quarter_growth,0.25,0.5,0.9,2,60.66501597265212
expanded_latest,non_pretrained,24,quarter_growth,0.25,1.0,0.9,2,75.9783528263913
expanded_latest,non_pretrained,24,quarter_growth,0.5,0.0,0.9,2,45.19956656197217
expanded_latest,non_pretrained,24,quarter_growth,0.5,0.5,0.9,2,62.84632067734228
expanded_latest,non_pretrained,24,quarter_growth,0.5,1.0,0.9,2,77.6236886787311
expanded_latest,non_pretrained,24,quarter_growth,0.75,0.0,0.9,2,47.49624820826648
expanded_latest,non_pretrained,24,quarter_growth,0.75,0.5,0.9,2,64.97649735539854
expanded_latest,non_pretrained,24,quarter_growth,0.75,1.0,0.9,2,79.18719982801636
expanded_latest,non_pretrained,24,quarter_growth,0.5,0.5,0.85,2,61.860819376125264
expanded_latest,non_pretrained,24,quarter_growth,0.5,0.5,0.95,2,64.00502881100327
expanded_latest,non_pretrained,24,quarter_growth,0.5,0.5,0.9,1,63.671143258001834
expanded_latest,non_pretrained,24,quarter_growth,0.5,0.5,0.9,3,62.623665084816935
expanded_latest,non_pretrained,24,no_growth,0.25,0.0,0.9,2,40.67628242552743
